DESTINO;CUENTA_CUIT;LINK;LINK5;PROV;PUNTO_GEOGRAFICO;POBLACION;DENSIDAD;NBI
AGUILARES;50;90077010;90077;Tucuman;Point (-65.62040667161529939 -27.42985111840319945);56847;0,879093189;0,143739353
ALLEN;50;62042010;62042;Rio Negro;Point (-67.82802139816089948 -38.97951065706890006);320921;0,197953418;0,091870908
ALMIRANTE BROWN;361;6028010;06028;Buenos Aires;Point (-58.36814756037860263 -34.78514425107120189);552902;42,31678746;0,104659759
ALTA GRACIA;200;14147010;14147;Cordoba;Point (-64.42882140619360598 -31.65767982676910108);98188;0,302757647;0,081864696
APOSTOLES;50;54007010;54007;Misiones;Point (-55.75321261788629812 -27.90980687788799841);42249;0,40118217;0,199463482
ARISTOBULO DEL VALLE;74;54014010;54014;Misiones;Point (-54.89490545721049841 -27.09529020008260147);53403;0,334657485;0,151386669
ARRECIFES;50;6077010;06077;Buenos Aires;Point (-60.10255644435360267 -34.06459112121090271);29044;0,232250822;0,043473706
AVELLANEDA;68;6035010;06035;Buenos Aires;Point (-58.31056342481419819 -34.67500564784869965);342677;59,31071707;0,057997914
AZUL;55;6049020;06049;Buenos Aires;Point (-59.85863317074129952 -36.7795144970312009);65280;0,09916749;0,035331517
BAHIA BLANCA;220;6056010;06056;Buenos Aires;Point (-62.26295124882390297 -38.77946704166649994);301572;1,317348391;0,037297564
BALCARCE;73;6063010;06063;Buenos Aires;Point (-58.2551665841247015 -37.8482779294345022);43823;0,105048403;0,064130435
BANDA DEL RIO SALI;50;90014020;90014;Tucuman;Point (-65.12931372896279925 -26.84987794907030079);180499;1,519612684;0,168627359
BERAZATEGUI;68;6091010;06091;Buenos Aires;Point (-58.20025329836229844 -34.77606341690400171);324244;14,53761498;0,104364347
BIALET MASSE;50;14091020;14091;Cordoba;Point (-64.48187032455439294 -31.32142857415859893);178401;0,722036068;0,056648508
BRANDSEN;68;6119050;06119;Buenos Aires;Point (-58.23735294466420243 -35.16909830029189976);26367;0,232660211;0,084094185
C.A.B.A.;10510;2;00002;C.A.B.A.;Point (-58.46666700000000105 -34.63333300000000037);2890142;14450,8;1,000638203
CALETA OLIVIA;42;78014010;78014;Santa Cruz;Point (-67.52515649698459299 -46.4459492303193997);107630;0,017078331;0,099108336
CAMPANA;146;6126030;06126;Buenos Aires;Point (-58.95887410353540048 -34.16396181182690128);94461;0,944872806;0,086549749
CAÑUELAS;68;6134030;06134;Buenos Aires;Point (-58.75838569653750199 -35.05271403505390282);51892;0,432971752;0,102076803
CARMEN DE PATAGONES;50;6602030;06602;Buenos Aires;Point (-62.98475426990400194 -40.79729832440099813);30207;0,02200836;0,095551409
CENTENARIO;49;58035030;58035;Neuquen;Point (-68.15321916392970536 -38.82757770811119968);362673;0,503163091;0,089677159
CERRO AZUL;50;54070040;54070;Misiones;Point (-55.49386816708099701 -27.63103474559499872);45075;0,413796297;0,148511062
CHAJARI;50;30028010;30028;Entre Rios;Point (-57.98416258786370037 -30.75407591076690039);68736;0,180284973;0,108267107
CHILECITO;50;46042010;46042;La Rioja;Point (-67.41912443613590256 -29.14846981053679897);49432;0,093894161;0,122105263
CHIVILCOY;50;6224010;06224;Buenos Aires;Point (-60.01888410303210009 -34.89801637727259731);64185;0,309489353;0,036136395
CHOS MALAL;50;58042010;58042;Neuquen;Point (-70.27237722231919292 -37.37925665935129871);15256;0,033181919;0,106956522
CINCO SALTOS;50;62042390;62042;Rio Negro;Point (-68.0660962055199974 -38.8275620197175968);320921;0,197953418;0,091870908
CIPOLLETTI;55;62042400;62042;Rio Negro;Point (-67.99554933138479385 -38.92205962817759968);320921;0,197953418;0,091870908
CIUDAD DE BELLA VISTA;50;;;;¿BELLA VISTA TUCUMAN O BUENOS AIRES?;;;
CIUDAD DE GOYA;100;18070020;18070;Corrientes;Point (-59.26053116387070219 -29.14134393306850157);89959;0,185094698;0,153220506
COLONIA CAROYA;50;14021050;14021;Cordoba;Point (-64.06672861082890336 -31.01723224662639922);225151;0,961595307;0,078080903
COLONIA MARINA;26;14140090;14140;Cordoba;Point (-62.36396455969880037 -31.2485066335845012);206307;0,131354495;0,042539502
COLONIA SANTA ROSA;50;66126020;66126;Salta;Point (-64.42343332294889535 -23.38859572031750034);138838;0,117566581;0,301547443
COLONIA WANDA;51;54063040;54063;Misiones;Point (-54.561025546081801 -25.97132570641780092);82227;0,289543154;0,213127737
COMANDANTE ANDRESITO;26;54049010;54049;Misiones;Point (-54.04564347094709831 -25.66743614245530125);42902;0,124816592;0,200869408
COMODORO RIVADAVIA;108;26021030;26021;Chubut;Point (-67.50258714091900458 -45.81913335173270241);186583;0,130492671;0,092501099
CONCEPCION;50;10042070;10042;Catamarca;Point (-66.06844044252339643 -28.70278781276719826);16085;0,034434694;0,144639674
CONCEPCION DE LA SIERRA;50;54035020;54035;Misiones;Point (-55.52093430566819876 -27.9813155596216987);9577;0,121348929;0,170665635
CONCEPCION DEL URUGUAY;50;30098040;30098;Entre Rios;Point (-58.2320517380781979 -32.48536016737279652);100728;0,193091046;0,058606822
CONCORDIA;350;30015060;30015;Entre Rios;Point (-58.04502884317169986 -31.36870440687879835);170033;0,506366522;0,14822225
CORDOBA CAPITAL;181;14014010;14014;Cordoba;Point (-64.06091435271329715 -31.39614949779440067);1329604;23,18545985;0,057626431
CORDOBA CAPITAL(1);1;;;;"LIMPIARIA LA TABLA PARA UNIFICAR ""CORDOBA CAPITAL"" CON ""CORDOBA CAPITAL(1)""";;;
CORONEL ROSALES;150;6056010;06056;Buenos Aires;Point (-62.26295124882390297 -38.77946704166649994);301572;1,317348391;0,037297564
CORRIENTES;165;18021020;18021;Corrientes;Point (-58.8392333481757035 -27.46328216410419998);358223;6,310832911;0,117895106
COSQUIN;50;14091070;14091;Cordoba;Point (-64.46553125742090629 -31.24057122456899904);178401;0,722036068;0,056648508
CRUZ DEL EJE;50;14028050;14028;Cordoba;Point (-64.80773773121370596 -30.72185921731010083);58759;0,088927337;0,14685227
CURUZU CUATIA;50;18035020;18035;Corrientes;Point (-58.04994534168199749 -29.79152335540500118);44384;0,052640672;0,129037442
CUTRAL CO;50;58035040;58035;Neuquen;Point (-69.24133903328829831 -38.93660161355170146);362673;0,503163091;0,089677159
DEAN FUNES;50;14049050;14049;Cordoba;Point (-64.35166976647680315 -30.42294093657730158);31312;0,061856767;0,098809251
DOS DE MAYO;50;54014030;54014;Misiones;Point (-54.70307749307529832 -26.98089430539679867);53403;0,334657485;0,151386669
EL CALAFATE;32;78028010;78028;Santa Cruz;Point (-72.26199506989790677 -50.33732084854270283);18864;0,004868149;0,109760522
EL DORADO;50;6462020;06462;Buenos Aires;Point (-61.58290850588730336 -34.65286087475229948);16799;0,104326604;0,044440602
EMBALSE;38;14007060;14007;Cordoba;Point (-64.40062268258189704 -32.20650768757619886);54730;0,115416519;0,07768253
EMBALSE ;1;;;;"LIMPIARIA LA TABLA PARA UNIFICAR ""EMBALSE"" CON ""EMBALSE """;;;
EMBARCACION;33;66056090;66056;Salta;Point (-64.00526538831860535 -23.26445605884450174);156910;0,098054187;0,260002637
EMPALME VILLA CONSTITUCION;32;82028070;82028;Santa Fe;Point (-60.38046446392930022 -33.26286254712479717);86910;0,256341126;0,058390207
ESCOBAR;204;6252010;06252;Buenos Aires;Point (-58.73617325965459912 -34.428785229177997);213619;6,996485209;0,116070089
ESQUEL;83;26035030;26035;Chubut;Point (-71.31851163192770571 -42.91332388582900137);43076;0,045975832;0,08930131
ESQUINA;50;14105090;14105;Cordoba;Point (-63.79356277862999747 -31.07729112631960078);46675;0,068906048;0,088558453
ESTEBAN ECHEVERRIA;68;6260010;06260;Buenos Aires;Point (-58.47269476035079805 -34.81913686307360223);300959;24,49369668;0,107722915
EXALTACION DE LA CRUZ;68;6266020;06266;Buenos Aires;Point (-59.10152327244399828 -34.29121086680339658);29805;0,464793391;0,084715965
EZEIZA;68;6270010;06270;Buenos Aires;Point (-58.57800173347759909 -34.93384898695150298);163722;6,825418276;0,141029964
FLORENCIO VARELA;204;6274010;06274;Buenos Aires;Point (-58.22291200394870003 -34.82758070283090035);426005;22,16957753;0,170212578
FORMOSA;59;34014020;34014;Formosa;Point (-58.173393054912097 -26.18282230557640133);234354;0,362056881;0,150588461
GENERAL MADARIAGA;50;6315010;06315;Buenos Aires;Point (-57.13747690712980187 -36.99677300120779933);19747;0,0651393;0,075489577
GENERAL PICO;53;42105030;42105;La Pampa;Point (-63.7609292677390016 -35.66338059372060343);59024;0,2355235;0,030705984
GENERAL PUEYRREDON;275;;;;¿VILLA PUEYRREDON O MAR DEL PLATA?;;;
GENERAL ROCA;50;14063120;14063;Cordoba;Point (-61.91713871250890122 -32.73051152966709765);104205;0,113096628;0,033233735
GENERAL RODRIGUEZ;68;6364030;06364;Buenos Aires;Point (-58.95325335388780275 -34.62786034324150108);87185;2,349258685;0,139171949
